"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles"
"5","Alien³","Alien³","Twentieth Century Fox Film Corporation","R","1992","4.6","After escaping with Newt and Hicks from
the alien planet, Ripley crash lands on
Fiorina 161, a prison planet and host to
a correctional facility. Unfortunately,
although Newt and Hicks do not survive
the crash, a more unwelcome visitor
does. The prison does not allow weapons
of any kind, and with aid being a long
time away, the prisoners must simply
survive in any way they can.","Sci-Fi - Action","N/A","N/A","The bitch is back.","1992-05-22","David Giler - Walter Hill","US","2:24:52","David Fincher","Sigourney Weaver - Charles S. Dutton -
Charles Dance"
"11","All Eyez on Me","All Eyez on Me","Morgan Creek Productions","R","2017","5.8","All Eyez on Me chronicles the life and
legacy of Tupac Shakur, including his
rise to superstardom as a hip-hop
artist, actor, poet and activist, as
well as his imprisonment and prolific,
controversial time at Death Row Records.
Against insurmountable odds, Tupac rose
to become a cultural icon whose career
and persona both continue to grow long
after his passing.","Biography - Music","N/A","N/A","Legends never die","2017-06-12","Jeremy Haft - Ed Gonzalez","US","2:19:11","Benny Boom","Demetrius Shipp Jr. - Danai Gurira - Kat
Graham"
"12","All Good Things","All Good Things","The Weinstein Company","R","2010","3.3","Newly-discovered facts, court records
and speculation are used to elaborate
the true love story and murder mystery
of the most notorious unsolved murder
case in New York history.","Drama - Crime","N/A","N/A","The perfect love story. Until it became
the perfect crime.","2010-12-03","Marcus Hinchey - Marc Smerling","US","1:41:19","Andrew Jarecki","Ryan Gosling - Kirsten Dunst - Frank
Langella"
"13","Allegiant","Allegiant","Summit Entertainment","PG-13","2016","5.7","Beatrice Prior and Tobias Eaton venture
into the world outside of the fence and
are taken into protective custody by a
mysterious agency known as the Bureau of
Genetic Welfare.","Sci-Fi - Mystery","N/A","N/A","Break the boundaries of your world","2016-03-09","Noah Oppenheim - Adam Cooper","US","2:00:33","Robert Schwentke","Shailene Woodley - Theo James - Zoë
Kravitz"
"14","Almost Christmas","Almost Christmas","Universal Pictures","PG-13","2016","4.8","A dysfunctional family gathers together
for their first Christmas since their
mom died.","Drama - Comedy","N/A","N/A","Five days together? Oh joy.","2016-11-11","David E. Talbert","US","1:50:46","David E. Talbert","Kimberly Elise - Omar Epps - Danny
Glover"
"15","American Assassin","American Assassin","Di Bonaventura Pictures","R","2017","6.2","Following the murder of his fiancée,
Mitch Rapp trains under the instruction
of Cold War veteran Stan Hurley. The
pair then is enlisted to investigate a
wave of apparently random attacks on
military and civilian targets.","Action - Thriller","N/A","N/A","A story centered on counterterrorism
agent Mitch Rapp.","2017-09-14","Michael Finch - Marshall Herskovitz","US","1:51:38","Michael Cuesta","Dylan O'Brien - Michael Keaton - Sanaa
Lathan"
"16","American Gangster","American Gangster","Imagine Entertainment","R","2007","8.0","Following the death of his employer and
mentor, Bumpy Johnson, Frank Lucas
establishes himself as the number one
importer of heroin in the Harlem
district of Manhattan. He does so by
buying heroin directly from the source
in South East Asia and he comes up with
a unique way of importing the drugs into
the United States. Based on a true
story.","Biography - Crime","N/A","N/A","There are two sides to the American
dream","2007-11-02","Steven Zaillian - Mark Jacobson","US","2:55:45","Ridley Scott","Denzel Washington - Russell Crowe -
Chiwetel Ejiofor"
"17","American History X","American History X","New Line Cinema","TV-14","1998","8.3","Derek Vineyard is paroled after serving
3 years in prison for killing two thugs
who tried to break into/steal his truck.
Through his brother, Danny Vineyard's
narration, we learn that before going to
prison, Derek was a skinhead and the
leader of a violent white supremacist
gang that committed acts of racial crime
throughout L.A. and his actions greatly
influenced Danny. Reformed and fresh out
of prison, Derek severs contact with the
gang and becomes determined to keep
Danny from going down the same violent
path as he did.","Crime - Drama","N/A","N/A","Some Legacies Must End.","1998-10-30","David McKenna - David McKenna","US","1:58:53","Tony Kaye","Edward Norton - Edward Furlong - Beverly
D'Angelo"
"18","American Made","American Made","Imagine Entertainment","R","2017","7.2","The true story of pilot Barry Seal, who
transported contraband for the CIA and
the Medellin cartel in the 1980s.","Crime - Drama","1","2018-01-07","It’s not a felony if you’re doing it for
the good guys","2017-08-17","Gary Spinelli","US","1:54:58","Doug Liman","Tom Cruise - Sarah Wright - Domhnall
Gleeson"
"19","American Pie","American Pie","Universal Pictures","R","1999","6.0","At a high-school party, four friends
find that losing their collective
virginity isn't as easy as they had
thought. But they still believe that
they need to do so before college. To
motivate themselves, they enter a pact
to all ""score."" by their senior prom.","Comedy","N/A","N/A","There's nothing like your first piece.","1999-07-09","Adam Herz","US","1:35:21","Paul Weitz - Chris Weitz","Jason Biggs - Chris Klein - Thomas Ian
Nicholas"
"20","American Pie 2","American Pie 2","Universal Pictures","R","2001","5.2","The whole gang are back and as close as
ever. They decide to get even closer by
spending the summer together at a beach
house. They decide to hold the biggest
party ever to be seen, even if the
preparation doesn't always go to plan.
Especially when Stifler, Finch and Jim
become more close to each other than
they ever want to be and when Jim
mistakes super glue for lubricant...","Comedy","N/A","N/A","This Summer It's All About Sticking
Together.","2001-08-10","Adam Herz","USA","1:50:40","J.B. Rogers","Jason Biggs - Thomas Ian Nicholas -
Chris Klein"
"21","American Psycho","American Psycho","Lions Gate Films","R","2000","6.8","A wealthy New York investment banking
executive hides his alternate
psychopathic ego from his co-workers and
friends as he escalates deeper into his
illogical, gratuitous fantasies.","Drama","N/A","N/A","I think my mask of sanity is about to
slip.","2000-04-13","Mary Harron - Guinevere Turner","USA","1:42:02","Mary Harron","Christian Bale - Willem Dafoe - Jared
Leto"
"22","American Reunion","American Reunion","Universal Pictures","R","2012","4.4","The characters we met a little more than
a decade ago are returning to East Great
Falls for their high-school reunion. In
one long-overdue weekend, they will
discover what has changed, who hasn’t
and that time and distance can’t break
the bonds of friendship. It was summer
1999 when four small-town Michigan boys
began a quest to lose their virginity.
In the years that have passed, Jim and
Michelle married while Kevin and Vicky
said goodbye. Oz and Heather grew apart,
but Finch still longs for Stifler’s mom.
Now these lifelong friends have come
home as adults to reminisce about – and
get inspired by – the hormonal teens who
launched a comedy legend.","Comedy","N/A","N/A","Save the best piece for last.","2012-04-04","Adam Herz","USA","1:52:52","Jon Hurwitz - Hayden Schlossberg","Jason Biggs - Alyson Hannigan - Seann
William Scott"
"23","American Wedding","American Wedding","Universal Pictures","R","2003","5.4","With high school a distant memory, Jim
and Michelle are getting married -- and
in a hurry, since Jim's grandmother is
sick and wants to see him walk down the
aisle -- prompting Stifler to throw the
ultimate bachelor party. And Jim's dad
is reliable as ever, doling out advice
no one wants to hear.","Comedy","N/A","N/A","Forever hold your piece.","2003-08-01","Adam Herz","USA","1:43:24","Jesse Dylan","Jason Biggs - Alyson Hannigan - Seann
William Scott"
"24","Annabelle: Creation","Annabelle: Creation","New Line Cinema","R","2017","10.0","Several years after the tragic death of
their little girl, a dollmaker and his
wife welcome a nun and several girls
from a shuttered orphanage into their
home, soon becoming the target of the
dollmaker's possessed creation,
Annabelle.","Mystery - Horror","N/A","N/A","You don't know the real story","2017-08-03","Gary Dauberman","US","1:49:42","David F. Sandberg","Stephanie Sigman - Talitha Bateman -
Anthony LaPaglia"
"25","Ant-Man","Ant-Man","Marvel Studios","PG-13","2015","8.2","Armed with the astonishing ability to
shrink in scale but increase in
strength, master thief Scott Lang must
embrace his inner-hero and help his
mentor, Doctor Hank Pym, protect the
secret behind his spectacular Ant-Man
suit from a new generation of towering
threats. Against seemingly
insurmountable obstacles, Pym and Lang
must plan and pull off a heist that will
save the world.","Sci-Fi - Comedy","N/A","N/A","Heroes don't get any bigger.","2015-07-14","Adam McKay - Edgar Wright","US","1:57:07","Peyton Reed","Paul Rudd - Michael Douglas - Evangeline
Lilly"
"26","Antitrust","Antitrust","Industry Entertainment","PG-13","2001","2.4","A computer programmer's dream job at a
hot Portland-based firm turns
nightmarish when he discovers his boss
has a secret and ruthless means of
dispatching anti-trust problems.","Crime - Drama","N/A","2018-01-12","Truth can be dangerous...Trust can be
deadly.","2001-01-12","Howard Franklin","USA","1:48:32","Peter Howitt","Ryan Phillippe - Rachael Leigh Cook -
Tim Robbins"
"27","Any Given Sunday","Any Given Sunday","Donners' Company","R","1999","5.1","A star quarterback gets knocked out of
the game and an unknown third stringer
is called in to replace him. The unknown
gives a stunning performance and forces
the aging coach to reevaluate his game
plans and life. A new co-owner/president
adds to the pressure of winning. The new
owner must prove her self in a male
dominated world.","Sport - Drama","N/A","N/A","Play or be Played.","1999-12-16","Oliver Stone - John Logan","US","2:37:12","Oliver Stone","Al Pacino - Cameron Diaz - Dennis Quaid"
"28","Apocalypse Now","Apocalypse Now","United Artists","R","1979","9.8","At the height of the Vietnam war,
Captain Benjamin Willard is sent on a
dangerous mission that, officially,
""does not exist, nor will it ever
exist."" His goal is to locate - and
eliminate - a mysterious Green Beret
Colonel named Walter Kurtz, who has been
leading his personal army on illegal
guerrilla missions into enemy territory.","Drama - War","N/A","N/A","This is the end...","1979-08-15","John Milius - Francis Ford Coppola","US","2:27:17","Francis Ford Coppola","Martin Sheen - Marlon Brando - Robert
Duvall"
"29","Apollo 13","Apollo 13","Imagine Entertainment","PG","1995","9.5","The true story of technical troubles
that scuttle the Apollo 13 lunar mission
in 1971, risking the lives of astronaut
Jim Lovell and his crew, with the failed
journey turning into a thrilling saga of
heroism. Drifting more than 200,000
miles from Earth, the astronauts work
furiously with the ground crew to avert
tragedy.","History - Drama","N/A","N/A","Houston, we have a problem.","1995-06-30","William Broyles Jr. - Al Reinert","US","2:20:20","Ron Howard","Tom Hanks - Bill Paxton - Kevin Bacon"
"4065","Arrival","Arrival","Paramount Pictures","PG-13","2016","N/A","Taking place after alien crafts land
around the world, an expert linguist is
recruited by the military to determine
whether they come in peace or are a
threat.","Drama - Mystery","N/A","N/A","Why are they here?","2016-11-10","Eric Heisserer","US","1:56:22","Denis Villeneuve","Amy Adams - Jeremy Renner - Forest
Whitaker"
"30","Austin Powers in Goldmember","Austin Powers in Goldmember","New Line Cinema","PG-13","2002","5.4","The world's most shagadelic spy
continues his fight against Dr. Evil.
This time, the diabolical doctor and his
clone, Mini-Me, team up with a new foe
-- '70s kingpin Goldmember. While
pursuing the team of villains to stop
them from world domination, Austin gets
help from his dad and an old girlfriend.","Crime - Comedy","N/A","N/A","He's still evil... He's still deadly...
and he's still surrounded by frickin'
idiots!","2002-07-26","Mike Myers - Michael McCullers","US","1:34:31","Jay Roach","Mike Myers - Beyoncé Knowles - Seth
Green"
"31","Austin Powers: International Man of
Mystery","Austin Powers: International Man of
Mystery","New Line Cinema","TV-14","1997","7.0","As a swingin' fashion photographer by
day and a groovy British superagent by
night, Austin Powers is the '60s' most
shagadelic spy, baby! But can he stop
megalomaniac Dr. Evil after the bald
villain freezes himself and unthaws in
the '90s? With the help of sexy sidekick
Vanessa Kensington, he just might.","Comedy - Adventure","N/A","N/A","If he were any cooler, he'd still be
frozen, baby!","1997-05-02","Mike Myers","US","1:29:35","Jay Roach","Mike Myers - Elizabeth Hurley - Michael
York"
"32","Austin Powers: The Spy Who Shagged Me","Austin Powers: The Spy Who Shagged Me","New Line Cinema","PG-13","1999","5.1","When diabolical genius, Dr. Evil travels
back in time to steal superspy Austin
Powers's ‘mojo’, Austin must return to
the swingin' '60s himself – with the
help of American agent, Felicity
Shagwell – to stop the dastardly plan.
Once there, Austin faces off against Dr.
Evil's army of minions and saves the
world in his own unbelievably groovy
way.","Sci-Fi - Crime","N/A","N/A","I'm back, baby!","1999-06-08","Mike Myers - Michael McCullers","USA","1:35:02","Jay Roach","Mike Myers - Heather Graham - Michael
York"
"33","Avatar","Avatar","Ingenious Film Partners","PG-13","2009","8.3","In the 22nd century, a paraplegic Marine
is dispatched to the moon Pandora on a
unique mission, but becomes torn between
following orders and protecting an alien
civilization.","Sci-Fi - Adventure","N/A","N/A","Enter the World of Pandora.","2009-12-10","James Cameron - James Cameron","US","3:23:32","James Cameron","Sam Worthington - Zoe Saldana -
Sigourney Weaver"
"35","The Avengers","Avengers","Paramount Pictures","PG-13","2012","9.2","When an unexpected enemy emerges and
threatens global safety and security,
Nick Fury, director of the international
peacekeeping agency known as
S.H.I.E.L.D., finds himself in need of a
team to pull the world back from the
brink of disaster. Spanning the globe, a
daring recruitment effort begins!","Sci-Fi - Action","N/A","N/A","Some assembly required.","2012-04-25","Joss Whedon","US","2:22:54","Joss Whedon","Robert Downey Jr. - Chris Evans - Mark
Ruffalo"
"34","Avengers: Age of Ultron","Avengers: Age of Ultron","Marvel Studios","PG-13","2015","7.5","When Tony Stark tries to jumpstart a
dormant peacekeeping program, things go
awry and Earth’s Mightiest Heroes are
put to the ultimate test as the fate of
the planet hangs in the balance. As the
villainous Ultron emerges, it is up to
The Avengers to stop him from enacting
his terrible plans, and soon uneasy
alliances and unexpected action pave the
way for an epic and unique global
adventure.","Sci-Fi - Action","N/A","N/A","A New Age Has Come.","2015-04-22","Joss Whedon","US","2:21:18","Joss Whedon","Robert Downey Jr. - Chris Hemsworth -
Mark Ruffalo"
"36","AVP: Alien vs. Predator","AVP: Alien vs. Predator","Impact Pictures","TV-14","2004","2.0","When scientists discover something in
the Arctic that appears to be a buried
Pyramid, they send a research team out
to investigate. Little do they know that
they are about to step into a hunting
ground where Aliens are grown as sport
for the Predator race.","Sci-Fi - Action","N/A","N/A","Whoever wins... We lose","2004-08-12","Dan O'Bannon - Ronald Shusett","CZ","1:48:40","Paul W.S. Anderson","Sanaa Lathan - Raoul Bova - Ewen Bremner"
"37","Baby Driver","Baby Driver","Big Talk Productions","R","2017","7.8","After being coerced into working for a
crime boss, a young getaway driver finds
himself taking part in a heist doomed to
fail.","Crime - Music","N/A","N/A","All you need is one killer track.","2017-06-28","Edgar Wright","US","1:52:39","Edgar Wright","Ansel Elgort - Lily James - Kevin Spacey"
"38","Back to the Future","Back to the Future","Universal Pictures","PG","1985","9.6","Eighties teenager Marty McFly is
accidentally sent back in time to 1955,
inadvertently disrupting his parents'
first meeting and attracting his
mother's romantic interest. Marty must
repair the damage to history by
rekindling his parents' romance and -
with the help of his eccentric inventor
friend Doc Brown - return to 1985.","Sci-Fi - Comedy","N/A","N/A","He's the only kid ever to get into
trouble before he was born.","1985-07-03","Robert Zemeckis - Bob Gale","US","1:56:01","Robert Zemeckis","Michael J. Fox - Christopher Lloyd - Lea
Thompson"
"39","Back to the Future Part II","Back to the Future Part II","Universal Pictures","PG","1989","6.3","Marty and Doc are at it again in this
wacky sequel to the 1985 blockbuster as
the time-traveling duo head to 2015 to
nip some McFly family woes in the bud.
But things go awry thanks to bully Biff
Tannen and a pesky sports almanac. In a
last-ditch attempt to set things
straight, Marty finds himself bound for
1955 and face to face with his teenage
parents -- again.","Sci-Fi - Comedy","N/A","N/A","Roads? Where we're going, we don't need
roads!","1989-11-20","Bob Gale","US","1:47:59","Robert Zemeckis","Michael J. Fox - Christopher Lloyd - Lea
Thompson"
"40","Back to the Future Part III","Back to the Future Part III","Universal Pictures","PG","1990","7.4","The final installment of the Back to the
Future trilogy finds Marty digging the
trusty DeLorean out of a mineshaft and
looking up Doc in the Wild West of 1885.
But when their time machine breaks down,
the travelers are stranded in a land of
spurs. More problems arise when Doc
falls for pretty schoolteacher Clara
Clayton, and Marty tangles with Buford
Tannen.","Sci-Fi - Adventure","N/A","N/A","They've saved the best trip for last...
But this time they may have gone too
far.","1990-05-25","Bob Gale","US","1:58:17","Robert Zemeckis","Michael J. Fox - Christopher Lloyd -
Mary Steenburgen"
"4040","A Bad Moms Christmas","Bad Moms Christmas","N/A","R","2017","5.6","Amy, Kiki and Carla, the three under-
appreciated and over-burdened women
rebel against the challenges and
expectations of the Super Bowl for moms:
Christmas. And if creating a more
perfect holiday for their families
wasn’t hard enough, they have to do all
of that while hosting and entertaining
their own mothers.","Comedy - Adventure","N/A","N/A","N/A","2017-11-02","Jon Lucas - Scott Moore","US","1:44:37","Jon Lucas - Scott Moore","Mila Kunis - Kristen Bell - Kathryn Hahn"
"41","BASEketball","BASEketball","Universal Pictures","R","1998","4.2","Two losers from Milwaukee, Coop & Remer,
invent a new game playing basketball,
using baseball rules. When the game
becomes a huge success, they, along with
a billionaire's help, form the
Professional Baseketball League where
everyone gets the same pay and no team
can change cities. Theirs is the only
team standing in the way of major rule
changes that the owner of a rival team
wants to institute.","Sport - Comedy","N/A","N/A","Two guys invented a game... and turned
the sports world upside down!","1998-07-28","David Zucker - Robert LoCash","US","1:43:10","David Zucker","Trey Parker - Matt Stone - Yasmine
Bleeth"
"42","Batman","Batman","DC Comics","PG-13","1989","7.2","The Dark Knight of Gotham City begins
his war on crime with his first major
enemy being the clownishly homicidal
Joker, who has seized control of
Gotham's underworld.","Action - Adventure","N/A","N/A","Have you ever danced with the devil in
the pale moonlight?","1989-06-23","Warren Skaaren - Sam Hamm","US","2:06:19","Tim Burton","Jack Nicholson - Michael Keaton - Kim
Basinger"
"43","Batman Begins","Batman Begins","DC Comics","PG-13","2005","8.4","Driven by tragedy, billionaire Bruce
Wayne dedicates his life to uncovering
and defeating the corruption that
plagues his home, Gotham City.  Unable
to work within the system, he instead
creates a new identity, a symbol of fear
for the criminal underworld - The
Batman.","Action - Thriller","N/A","N/A","Evil fears the knight.","2005-06-10","David S. Goyer - Christopher Nolan","US","2:20:03","Christopher Nolan","Christian Bale - Michael Caine - Liam
Neeson"
"44","Batman Forever","Batman Forever","DC Comics","PG-13","1995","4.0","The Dark Knight of Gotham City confronts
a dastardly duo: Two-Face and the
Riddler. Formerly District Attorney
Harvey Dent, Two-Face believes Batman
caused the courtroom accident which left
him disfigured on one side. And Edward
Nygma, computer-genius and former
employee of millionaire Bruce Wayne, is
out to get the philanthropist; as The
Riddler. Former circus acrobat Dick
Grayson, his family killed by Two-Face,
becomes Wayne's ward and Batman's new
partner Robin.","Romance - Adventure","N/A","N/A","Courage now, truth always...","1995-06-16","Akiva Goldsman","US","2:01:35","Joel Schumacher","Val Kilmer - Tommy Lee Jones - Jim
Carrey"
"47","Batman v Superman: Dawn of Justice","Batman v Superman: Dawn of Justice","DC Comics","R","2016","2.7","Fearing the actions of a god-like Super
Hero left unchecked, Gotham City’s own
formidable, forceful vigilante takes on
Metropolis’s most revered, modern-day
savior, while the world wrestles with
what sort of hero it really needs. And
with Batman and Superman at war with one
another, a new threat quickly arises,
putting mankind in greater danger than
it’s ever known before.","Sci-Fi - Action","N/A","N/A","Justice or revenge","2016-03-23","David S. Goyer - Chris Terrio","US","2:31:40","Zack Snyder","Ben Affleck - Henry Cavill - Gal Gadot"
"45","Batman: The Dark Knight Returns, Part 1","Batman: The Dark Knight Returns, Part 1","DC Comics","PG-13","2012","10.0","Batman has not been seen for ten years.
A new breed of criminal ravages Gotham
City, forcing 55-year-old Bruce Wayne
back into the cape and cowl. But, does
he still have what it takes to fight
crime in a new era?","Crime - Drama","N/A","N/A","Old heroes never die. They just get
darker.","2012-09-06","Bob Goodman","US","1:16:22","Jay Oliva","Peter Weller - Ariel Winter - David
Selby"
"46","Batman: The Dark Knight Returns, Part 2","Batman: The Dark Knight Returns, Part 2","DC Comics","PG-13","2013","8.4","Batman has stopped the reign of terror
that The Mutants had cast upon his city.
Now an old foe wants a reunion and the
government wants The Man of Steel to put
a stop to Batman.","Crime - Drama","N/A","N/A","Justice Returns... Vengeance Returns...
Redemption Comes to Gotham.","2013-01-18","Bob Goodman","US","1:15:49","Jay Oliva","Peter Weller - Ariel Winter - David
Selby"
"48","Beauty and the Beast","Beauty and the Beast","Walt Disney Pictures","G","1991","9.4","Follow the adventures of Belle, a bright
young woman who finds herself in the
castle of a prince who's been turned
into a mysterious beast. With the help
of the castle's enchanted staff, Belle
soon learns the most important lesson of
all -- that true beauty comes from
within.","Animation - Family","N/A","N/A","The most beautiful love story ever told.","1991-11-13","Linda Woolverton","US","1:31:44","Gary Trousdale - Kirk Wise","Paige O'Hara - Robby Benson - Richard
White"
"49","Beauty and the Beast","Beauty and the Beast","Walt Disney Pictures","PG","2017","7.1","A live-action adaptation of Disney's
version of the classic tale of a cursed
prince and a beautiful young woman who
helps him break the spell.","Romance - Musical","N/A","N/A","Be our guest.","2017-03-16","Stephen Chbosky - Evan Spiliotopoulos","US","2:09:16","Bill Condon","Emma Watson - Dan Stevens - Luke Evans"
"381","The Big Lebowski","Big Lebowski","Gramercy Pictures","R","1998","8.1","Jeffrey ""The Dude"" Lebowski, a Los
Angeles slacker who only wants to bowl
and drink white Russians, is mistaken
for another Jeffrey Lebowski, a
wheelchair-bound millionaire, and finds
himself dragged into a strange series of
events involving nihilists, adult film
producers, ferrets, errant toes, and
large sums of money.","Crime - Comedy","N/A","N/A","Times like these call for a Big
Lebowski.","1998-03-06","Ethan Coen - Joel Coen","US","1:57:15","Joel Coen","Jeff Bridges - John Goodman - Julianne
Moore"
"50","The Big Short","Big Short","Paramount Pictures","R","2015","7.8","The men who made millions from a global
economic meltdown.","Biography - History","N/A","N/A","This is a true story.","2015-12-11","Adam McKay - Charles Randolph","US","2:10:15","Adam McKay","Christian Bale - Steve Carell - Ryan
Gosling"
"51","The Big Sick","Big Sick","FilmNation Entertainment","R","2017","9.8","Pakistan-born comedian Kumail Nanjiani
and grad student Emily Gardner fall in
love but struggle as their cultures
clash. When Emily contracts a mysterious
illness, Kumail finds himself forced to
face her feisty parents, his family's
expectations, and his true feelings.","Romance - Comedy","N/A","N/A","An awkward true story.","2017-06-23","Kumail Nanjiani - Emily V. Gordon","US","2:00:24","Michael Showalter","Kumail Nanjiani - Zoe Kazan - Holly
Hunter"
